stock_name,time,close_price,action,ema9_max,macd-signal,ema9_min,,
ABB,09-08-2023 09:15,4520.9502,Buy,4466.966016,1.462115442,,5,10
ABB,10-01-2024 09:15,4935.7002,Buy,4819.371133,3.425730254,,5,
ABB,27-03-2024 09:15,6279.3501,Buy,5888.662096,18.21870871,,5,
ABB,06-05-2024 09:15,6940.3501,Buy,6619.35694,0.703577085,,5,
ABB,18-06-2024 09:15,8867,Buy,8460.521429,17.42015313,,5,
ADANIENSOL,20-11-2023 09:15,727.5,Sell,,-0.370416741,748.4595162,2,
ADANIENSOL,04-01-2024 09:15,1179.8,Buy,1095.29188,3.095282935,,2,
ADANIENT,21-08-2023 09:15,2639.75,Buy,2533.241778,5.684615945,,4,
ADANIENT,11-01-2024 09:15,3080.8999,Buy,3003.414608,1.034586829,,4,
ADANIENT,01-02-2024 09:15,3153.5,Buy,3048.592387,4.516395534,,4,
ADANIENT,26-02-2024 09:15,3327.75,Buy,3250.266302,1.158615363,,4,
ADANIGREEN,07-02-2024 09:15,1866,Buy,1716.780501,2.97448567,,1,
ADANIPORTS,11-09-2023 09:15,882.45001,Buy,825.5574756,1.907131931,,5,
ADANIPORTS,05-01-2024 09:15,1154.25,Buy,1083.539539,3.074047859,,5,
ADANIPORTS,02-02-2024 09:15,1261.45,Buy,1199.630508,0.24860316,,5,
ADANIPORTS,19-02-2024 09:15,1307,Buy,1273.268522,0.682145141,,5,
ADANIPORTS,26-02-2024 09:15,1338.15,Buy,1302.703589,0.598309234,,5,
ADANIPOWER,28-11-2023 09:15,446.20001,Buy,400.825045,2.417819063,,5,
ADANIPOWER,30-01-2024 09:15,558.29999,Buy,542.0582056,0.26593034,,5,
ADANIPOWER,07-02-2024 09:15,569.70001,Buy,554.3069288,0.378292363,,5,
ADANIPOWER,06-03-2024 09:15,576.70001,Buy,563.8180854,0.360860006,,5,
ADANIPOWER,14-05-2024 09:15,628.04999,Buy,603.4352224,0.219405455,,5,
ATGL,08-05-2024 09:15,895.59998,Sell,,-0.674411592,915.7626837,1,
AMBUJACEM,04-01-2024 09:15,549.45001,Buy,527.7330929,0.815857242,,6,
AMBUJACEM,29-01-2024 09:15,574.09998,Buy,543.5613377,1.2349042,,6,
AMBUJACEM,09-02-2024 09:15,576.20001,Buy,563.3564982,0.362037865,,6,
AMBUJACEM,16-02-2024 09:15,585.09998,Buy,570.6065759,0.052861657,,6,
AMBUJACEM,24-04-2024 09:15,644.45001,Buy,624.5995885,0.833207259,,6,
AMBUJACEM,28-06-2024 09:15,670.25,Buy,659.2820193,0.271396362,,6,
APOLLOHOSP,27-12-2023 09:15,5687.4502,Buy,5558.210854,0.175638728,,2,
APOLLOHOSP,12-02-2024 09:15,6614.4502,Buy,6333.919244,9.533276537,,2,
ASIANPAINT,06-07-2023 09:15,3399.3999,Buy,3350.519161,0.46569306,,4,
ASIANPAINT,17-07-2023 09:15,3460.3999,Buy,3399.680922,2.211973695,,4,
ASIANPAINT,28-02-2024 09:15,2794.3501,Sell,,-7.380380898,2917.237797,4,
ASIANPAINT,10-07-2024 09:15,2996.45,Buy,2929.382761,4.698566765,,4,
DMART,28-06-2023 09:15,3963.6001,Buy,3862.883848,1.195934839,,2,
DMART,11-07-2024 09:15,4898.8999,Buy,4830.220915,0.567538783,,2,
AXISBANK,24-05-2024 09:15,1174,Buy,1146.175145,1.505974287,,4,
AXISBANK,10-06-2024 09:15,1200,Buy,1178.489144,0.421116785,,4,
AXISBANK,19-06-2024 09:15,1226.65,Buy,1192.028492,0.713028346,,4,
AXISBANK,12-07-2024 09:15,1317.3,Buy,1289.219972,0.868689075,,4,
BAJAJ_AUTO,18-10-2023 09:15,5137.3501,Buy,5081.33032,0.324816771,,7,
BAJAJ_AUTO,16-11-2023 09:15,5550.8999,Buy,5450.789259,2.84461373,,7,
BAJAJ_AUTO,27-12-2023 09:15,6709.6499,Buy,6412.838101,6.883072538,,7,
BAJAJ_AUTO,29-01-2024 09:15,7548.7998,Buy,7294.471801,0.263128402,,7,
BAJAJ_AUTO,14-02-2024 09:15,8083.2998,Buy,7810.133251,8.915529617,,7,
